source	target	depth
brain science	neurosemiotics	1
brain science	neuroscience of sex differences	1
brain science	gut–brain axis	1
brain science	connectomics	1
deep learning	applications of artificial intelligence	1
deep learning	comparison of deep learning software	1
deep learning	compressed sensing	1
deep learning	differentiable programming	1
deep learning	echo state network	1
deep learning	liquid state machine	1
deep learning	reservoir computing	1
deep learning	scale space	1
deep learning	sparse coding	1
deep learning	stochastic parrot	1
deep learning	topological deep learning	1
sparse coding	artificial neural network	2
sparse coding	autoencoder	2
sparse coding	biological neuron model	2
sparse coding	binding problem	2
sparse coding	cognitive map	2
sparse coding	deep learning	2
sparse coding	feature integration theory	2
sparse coding	grandmother cell	2
sparse coding	models of neural computation	2
sparse coding	neural correlate	2
sparse coding	neural decoding	2
sparse coding	neural oscillation	2
sparse coding	receptive field	2
sparse coding	sparse distributed memory	2
sparse coding	vector quantization	2
sparse coding	representational drift	2
scale space	difference of gaussians	2
scale space	gaussian function	2
scale space	mipmap	2
stochastic parrot	1 the road	2
stochastic parrot	chinese room	2
stochastic parrot	criticism of artificial neural networks	2
stochastic parrot	criticism of deep learning	2
stochastic parrot	criticism of google	2
stochastic parrot	cut-up technique	2
stochastic parrot	infinite monkey theorem	2
stochastic parrot	generative ai	2
stochastic parrot	mark v. shaney	2
stochastic parrot	markov text	2
reservoir computing	deep learning	2
reservoir computing	extreme learning machine	2
reservoir computing	unconventional computing	2
liquid state machine	echo state network	2
liquid state machine	recurrent neural network	2
liquid state machine	reservoir computing	2
liquid state machine	self-organizing map	2
mipmap	anisotropic filtering	3
mipmap	hierarchical modulation	3
mipmap	pyramid (image processing)	3
mipmap	scale space	3
mipmap	spatial anti-aliasing	3
gaussian function	bell-shaped function	3
gaussian function	cauchy distribution	3
gaussian function	normal distribution	3
gaussian function	radial basis function kernel	3
extreme learning machine	reservoir computing	3
extreme learning machine	random projection	3
extreme learning machine	random matrix	3
unconventional computing	wdr paper computer	3
unconventional computing	moniac	3
unconventional computing	hypercomputation	3
self-organizing map	deep learning	3
self-organizing map	hybrid kohonen self-organizing map	3
self-organizing map	learning vector quantization	3
self-organizing map	liquid state machine	3
self-organizing map	neocognitron	3
self-organizing map	neural gas	3
self-organizing map	sparse coding	3
self-organizing map	sparse distributed memory	3
self-organizing map	topological data analysis	3
spatial anti-aliasing	alpha to coverage	4
spatial anti-aliasing	anisotropic filtering	4
spatial anti-aliasing	font rasterization	4
spatial anti-aliasing	sampling (signal processing)	4
spatial anti-aliasing	temporal anti-aliasing	4
wdr paper computer	digi-comp i	4
wdr paper computer	digi-comp ii	4
wdr paper computer	geniac	4
wdr paper computer	cardboard illustrative aid to computation	4
wdr paper computer	turing tumble	4
wdr paper computer	little man computer	4
hypercomputation	digital physics	4
hypercomputation	limits of computation	4
moniac	hydraulic macroeconomics	4
moniac	phillips curve	4
moniac	water integrator	4
topological data analysis	dimensionality reduction	4
topological data analysis	data mining	4
topological data analysis	computer vision	4
topological data analysis	computational topology	4
topological data analysis	discrete morse theory	4
topological data analysis	shape analysis (digital geometry)	4
topological data analysis	size theory	4
topological data analysis	algebraic topology	4
topological data analysis	topological deep learning	4
sparse distributed memory	autoassociative memory	4
sparse distributed memory	cerebellar model articulation controller	4
sparse distributed memory	types of artificial neural networks	4
sparse distributed memory	holographic associative memory	4
sparse distributed memory	low-density parity-check code	4
sparse distributed memory	memory-prediction framework	4
sparse distributed memory	neural coding	4
sparse distributed memory	neural turing machine	4
sparse distributed memory	random indexing	4
sparse distributed memory	self-organizing map	4
sparse distributed memory	semantic folding	4
sparse distributed memory	semantic memory	4
sparse distributed memory	semantic network	4
sparse distributed memory	autoencoder	4
sparse distributed memory	visual indexing theory	4
neocognitron	artificial neural network	4
neocognitron	deep learning	4
neocognitron	pattern recognition	4
neocognitron	receptive field	4
neocognitron	self-organizing map	4
neocognitron	unsupervised learning	4
random projection	locality-sensitive hashing	4
random projection	random mapping	4
random projection	johnson-lindenstrauss lemma	4
radial basis function kernel	gaussian function	4
radial basis function kernel	kernel (statistics)	4
radial basis function kernel	polynomial kernel	4
radial basis function kernel	radial basis function	4
radial basis function kernel	radial basis function network	4
radial basis function kernel	obst kernel network	4
cauchy distribution	lévy flight	4
cauchy distribution	lévy process	4
cauchy distribution	laplace distribution	4
